,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
21122,GGBKTAO02BX17Z,NA,NA,NA,NA
21123,GGBKTAO02BQOPW,NA,NA,NA,NA
21124,GGBKTAO02BRQPC,NA,NA,NA,NA
21125,GGBKTAO02BUM38,NA,NA,NA,NA
21126,GGBKTAO02BQ1HR,1,21,NA,NA
21127,GGBKTAO02BNYW0,NA,NA,NA,NA
21128,GGBKTAO02BZWP2,1,21,NA,NA
21129,GGBKTAO02BSVWD,NA,NA,NA,NA
21130,GGBKTAO02BO3UT,1,21,157,176
21131,GGBKTAO02BM9IN,1,21,NA,NA
21132,GGBKTAO02BQU2W,1,21,299,318
21133,GGBKTAO02BM24L,1,21,NA,NA
21134,GGBKTAO02BPZIJ,NA,NA,NA,NA
21135,GGBKTAO02BO0UJ,1,21,319,338
21136,GGBKTAO02B1XAA,NA,NA,NA,NA
21137,GGBKTAO02BS8EV,1,21,NA,NA
21138,GGBKTAO02BRNKI,1,21,NA,NA
21139,GGBKTAO02BU869,1,21,NA,NA
21140,GGBKTAO02BRKHV,1,21,NA,NA
21141,GGBKTAO02BVYE5,1,21,299,318
21142,GGBKTAO02BM9L8,NA,NA,NA,NA
21143,GGBKTAO02BM273,1,21,NA,NA
21144,GGBKTAO02B01OC,1,21,151,170
21145,GGBKTAO02BY034,NA,NA,NA,NA
21146,GGBKTAO02BXY43,NA,NA,NA,NA
21147,GGBKTAO02BZ54D,NA,NA,NA,NA
21148,GGBKTAO02BPV93,1,21,318,337
21149,GGBKTAO02BYH5S,NA,NA,NA,NA
21150,GGBKTAO02BXI82,1,21,317,336
21151,GGBKTAO02B1HJN,NA,NA,NA,NA
21152,GGBKTAO02BON5A,NA,NA,NA,NA
21153,GGBKTAO02BR3BT,NA,NA,NA,NA
21154,GGBKTAO02B1A9Y,NA,NA,NA,NA
21155,GGBKTAO02B04S3,NA,NA,NA,NA
21156,GGBKTAO02BUGMM,1,21,NA,NA
21157,GGBKTAO02BN46A,1,21,316,335
21158,GGBKTAO02BZJ2J,NA,NA,NA,NA
21159,GGBKTAO02BM6C1,NA,NA,NA,NA
21160,GGBKTAO02BRQRX,1,21,NA,NA
21161,GGBKTAO02BP5XP,1,21,NA,NA
21162,GGBKTAO02BN46O,NA,NA,NA,NA
21163,GGBKTAO02BOBIO,NA,NA,NA,NA
21164,GGBKTAO02BNPCC,1,21,NA,NA
